iter	Passed	Remaining
0	149	149093
1	150	75224
2	151	50471
3	153	38238
4	154	30745
5	155	25751
6	156	22175
7	157	19507
8	158	17436
9	159	15771
10	160	14397
11	160	13251
12	161	12298
13	162	11475
14	163	10758
15	164	10124
16	165	9568
17	166	9070
18	167	8638
19	168	8257
20	169	7924
21	171	7602
22	171	7293
23	172	7015
24	173	6762
25	174	6526
26	175	6311
27	175	6101
28	176	5913
29	177	5735
30	178	5569
31	179	5419
32	179	5273
33	181	5147
34	182	5032
35	183	4911
36	184	4799
37	185	4687
38	186	4584
39	187	4498
40	188	4406
41	189	4316
42	189	4225
43	190	4143
44	191	4064
45	192	3983
46	192	3912
47	193	3845
48	195	3787
49	196	3740
50	198	3689
51	199	3628
52	199	3568
53	200	3520
54	201	3466
55	202	3415
56	203	3365
57	204	3318
58	205	3273
59	206	3229
60	207	3188
61	208	3147
62	208	3107
63	210	3073
64	211	3035
65	211	2997
66	212	2961
67	213	2926
68	214	2892
69	215	2857
70	215	2825
71	216	2794
72	217	2763
73	218	2734
74	219	2706
75	220	2678
76	221	2651
77	222	2628
78	223	2603
79	224	2580
80	225	2559
81	226	2536
82	227	2517
83	228	2494
84	229	2471
85	230	2452
86	231	2430
87	232	2409
88	233	2388
89	234	2367
90	234	2346
91	235	2329
92	236	2310
93	237	2291
94	238	2276
95	239	2259
96	240	2238
97	241	2221
98	242	2203
99	242	2186
100	243	2168
101	244	2152
102	245	2135
103	246	2119
104	246	2104
105	247	2089
106	248	2075
107	249	2060
108	250	2047
109	251	2033
110	252	2019
111	253	2007
112	253	1992
113	255	1983
114	256	1976
115	257	1963
116	258	1951
117	259	1938
118	260	1925
119	260	1912
120	261	1901
121	262	1887
122	263	1878
123	264	1868
124	265	1859
125	266	1849
126	268	1844
127	269	1832
128	270	1828
129	271	1819
130	272	1810
131	273	1801
132	274	1791
133	275	1782
134	276	1772
135	277	1762
136	278	1752
137	279	1742
138	279	1731
139	280	1723
140	283	1724
141	285	1723
142	287	1722
143	288	1717
144	289	1707
145	290	1699
146	291	1690
147	292	1681
148	292	1672
149	293	1664
150	294	1656
151	295	1647
152	296	1639
153	297	1632
154	298	1628
155	300	1623
156	300	1615
157	301	1608
158	302	1601
159	305	1602
160	306	1595
161	306	1586
162	307	1578
163	308	1571
164	308	1563
165	309	1555
166	310	1546
167	310	1538
168	311	1533
169	313	1531
170	314	1526
171	315	1519
172	316	1512
173	317	1505
174	317	1498
175	318	1492
176	319	1486
177	320	1480
178	322	1479
179	323	1472
180	323	1466
181	324	1459
182	325	1454
183	326	1449
184	329	1452
185	332	1455
186	333	1449
187	334	1442
188	334	1436
189	335	1429
190	336	1423
191	336	1416
192	337	1410
193	338	1406
194	339	1401
195	341	1400
196	342	1397
197	343	1391
198	344	1385
199	344	1379
200	345	1373
201	346	1368
202	347	1362
203	347	1356
204	348	1351
205	349	1345
206	349	1339
207	350	1334
208	351	1328
209	351	1323
210	352	1317
211	353	1313
212	354	1311
213	356	1310
214	357	1306
215	358	1301
216	359	1295
217	359	1291
218	360	1285
219	361	1280
220	361	1275
221	362	1269
222	362	1264
223	363	1259
224	364	1254
225	364	1249
226	365	1244
227	365	1239
228	366	1234
229	367	1230
230	370	1232
231	371	1229
232	372	1225
233	372	1220
234	373	1216
235	374	1211
236	374	1206
237	375	1201
238	375	1196
239	376	1192
240	377	1187
241	377	1183
242	378	1179
243	379	1175
244	379	1170
245	380	1166
246	381	1162
247	382	1159
248	383	1157
249	385	1157
250	386	1153
251	387	1151
252	389	1148
253	389	1144
254	390	1140
255	391	1137
256	392	1133
257	392	1129
258	393	1126
259	394	1122
260	395	1119
261	396	1115
262	397	1114
263	399	1114
264	400	1111
265	402	1109
266	402	1106
267	403	1103
268	404	1099
269	405	1096
270	406	1093
271	407	1089
272	408	1086
273	409	1083
274	409	1080
275	410	1077
276	412	1076
277	415	1078
278	417	1077
279	417	1074
280	418	1071
281	419	1068
282	420	1065
283	421	1062
284	422	1059
285	423	1056
286	424	1053
287	425	1051
288	426	1048
289	428	1048
290	430	1048
291	432	1048
292	433	1046
293	434	1044
294	435	1041
295	436	1038
296	438	1036
297	439	1034
298	439	1031
299	440	1028
300	445	1033
301	447	1033
302	447	1030
303	448	1027
304	449	1024
305	450	1021
306	451	1018
307	452	1015
308	452	1012
309	453	1010
310	454	1007
311	455	1004
312	456	1002
313	458	1001
314	459	999
315	460	997
316	461	994
317	462	991
318	463	988
319	463	985
320	464	982
321	465	979
322	466	977
323	466	974
324	467	971
325	468	968
326	470	967
327	472	967
328	475	968
329	477	968
330	478	966
331	479	964
332	480	961
333	480	959
334	481	956
335	483	954
336	484	952
337	486	952
338	488	951
339	488	948
340	489	946
341	490	944
342	493	944
343	496	946
344	497	943
345	498	941
346	503	948
347	506	948
348	507	946
349	508	943
350	509	941
351	510	940
352	511	938
353	512	935
354	517	939
355	519	940
356	520	937
357	521	935
358	522	932
359	523	930
360	524	928
361	525	926
362	526	924
363	530	926
364	532	926
365	533	924
366	534	921
367	535	919
368	536	916
369	537	914
370	538	913
371	539	910
372	540	908
373	541	905
374	541	903
375	542	901
376	544	900
377	546	898
378	546	896
379	548	894
380	549	892
381	555	899
382	558	899
383	561	901
384	563	900
385	565	898
386	566	897
387	569	899
388	572	898
389	575	900
390	577	898
391	581	901
392	582	899
393	584	899
394	588	901
395	590	900
396	595	904
397	596	902
398	598	900
399	598	898
400	600	896
401	603	897
402	605	896
403	606	894
404	607	891
405	607	889
406	608	887
407	610	885
408	611	883
409	611	880
410	612	877
411	618	882
412	619	880
413	620	878
414	621	875
415	622	873
416	622	870
417	623	868
418	624	865
419	624	862
420	625	860
421	626	857
422	626	854
423	627	852
424	628	849
425	630	849
426	633	850
427	634	848
428	635	845
429	636	843
430	636	840
431	637	838
432	638	836
433	639	833
434	639	830
435	640	828
436	641	825
437	648	831
438	649	829
439	649	827
440	650	824
441	651	822
442	652	819
443	652	817
444	653	815
445	654	812
446	654	810
447	655	807
448	656	805
449	660	807
450	661	805
451	662	803
452	663	800
453	663	798
454	664	795
455	665	793
456	665	791
457	666	788
458	667	786
